Name,BrightnessComparisonScore
0024e7f3-a8f2-4256-8c5e-f88d4636c59d.jpg,1720857.98
0024ff6d-37c7-4483-a30b-cbd618b4a20a.jpg,456206.65
00250bce-b139-4c0e-a8e0-259b91e35552.jpg,47343.43
00250e8b-a9d6-4539-bcde-5f32988b98f0.jpg,37868.73
00259c08-7551-4aa5-ae0c-58cc342c6723.jpg,234965.34
0026465b-deac-4731-ac37-9badc6545bd7.jpg,270475.83
0027cf23-f645-46a2-aad9-f97b8ad6b216.jpg,167268.29
0027dd26-daf3-4045-9c7f-9ded112adbb6.jpg,561853.26
00282072-dddb-4cee-82d1-bc3bcf7a3354.jpg,9213891.73
0028244b-7b8f-4823-9b95-be8a3f7223ed.jpg,474140.75
00282f59-b85f-4161-9a20-822681f0017f.jpg,197642.58
002846c1-3a61-47a3-9717-ecdc347bd567.jpg,137382.24
00285192-b4e8-49ff-b60d-52f8049186e3.jpg,976908.62
002927ab-4e56-452c-b519-8289c5ede141.jpg,16494.59
0029483d-b1c7-4f27-ac9b-f58a59738b0e.jpg,147086.44
0029e5ea-2e8c-4b0b-87db-c6901b5a9e07.jpg,454565.21
002a7681-f5f5-457c-ae53-ac3756ac34ad.jpg,200072.47
002a84cc-195f-43f4-9287-4d50821e4384.jpg,138213.27
002a9788-5338-40c5-90ac-e8c85d685589.jpg,251575.47
002abd7d-801d-4371-a453-03edf7b8da67.jpg,32859.05
002b935c-ad13-4126-8e0f-47ba832171b7.jpg,67593.36
002c3819-5bae-4be0-9c21-c05b6894d259.jpg,32551.82
002c4dc0-202f-4739-923b-61f259d6807c.jpg,276587.53
002c6093-6323-47e6-ab46-209659163512.jpg,2026250.27
002d7a98-d83f-4ec3-af5d-5d3554ca3439.jpg,365965.92
002da04a-0254-4c2e-8f6c-3a91a5a67a27.jpg,71455.38
002dc19a-610b-4965-8fc4-15115c4e51fd.jpg,215212.37
002e5a7c-07f0-491d-8a97-d72ac5305526.jpg,195768.8
002f6ecd-631b-42b2-9f4c-57ae9f7bc095.jpg,132663.73
002fb277-52b7-4122-adb2-d86790c9ed2b.jpg,300037.23
0030e412-4782-4b3a-b318-29d6390cce91.jpg,150865.4
0031ce7b-4966-4931-be60-13d4a2dc6458.jpg,149329.87
00337df9-ef28-45b9-a9ea-13c418f516c8.jpg,232410.02
0033865e-b25f-4d22-8297-a1d7427ca9e9.jpg,59388.82
0036127d-c00c-4d07-b797-a952f2ead735.jpg,101769.17
0036b5a1-8bbe-4647-aebf-ae22d251c7fb.jpg,74494.23
00370699-8e54-47f9-a9ef-897040668c25.jpg,64065.63
0037504b-f0cb-41d5-bf93-764d8133b20e.jpg,263408.18
0037f5cd-5c7f-4cb2-a93c-dca700e629d8.jpg,127138.18
00383d90-85a7-4483-8fda-83708a0b5103.jpg,19747.3
0039abd3-526d-4d39-951c-95ea781904be.jpg,60852
003a049d-0680-4e5c-b2cd-b06af2ba9e76.jpg,41956.43
003a4eb3-ad28-4ae7-ab4d-e5e02a787e53.jpg,413694.73
003c74b9-537b-4853-938d-84331a61559c.jpg,595307.01
003c9af0-7c39-4034-86e7-5260378b0e55.jpg,619737.58
003ca19f-d3c5-487a-b43a-cfe5ca856074.jpg,1285191.91
003cb79b-1606-4512-8b8c-d389458b4993.jpg,25679.89
003cd542-91d1-4f53-8584-35fd6819e8df.jpg,74187.16
003da2d5-78d0-4c3c-a6a3-982a849ef431.jpg,45354.21
003dd75e-0349-4793-bd68-3f58bdd18df7.jpg,437840.84
003efd82-0c00-406c-b8ac-e801e1c90c96.jpg,512434.96
003f8c07-39f3-46ef-8e43-44d07054e384.jpg,261066.53
0040767c-b81b-46da-bc54-bc79c84f4dbd.jpg,122592.11
0040b3d8-ba1b-43e5-b0b8-a7fbc4f2bc7a.jpg,73403.07
00416a54-ca6a-47be-a388-55833aae46f6.jpg,195925.05
004219f8-722e-4291-b670-ac538ee188d6.jpg,365053.84
